,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
69,GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,father,2,4,0,no,yes,no,no,yes,no,4,4,2,2,3,3,12,16,16,16
70,GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,father,2,4,0,no,yes,yes,no,yes,no,4,3,2,1,1,5,0,13,15,15
71,GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,mother,1,4,0,no,no,no,no,yes,no,3,3,3,1,1,3,0,10,10,10
72,GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,mother,1,2,2,yes,yes,no,no,yes,yes,3,3,4,2,4,5,2,8,6,5
73,GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,mother,1,1,0,no,no,no,yes,yes,no,5,3,2,2,2,5,2,12,12,14
74,GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,mother,1,2,0,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
75,GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,mother,1,2,0,no,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10
76,GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,mother,2,4,0,no,no,no,yes,yes,no,3,4,3,1,1,1,8,11,11,10
77,GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,mother,1,4,0,no,no,yes,no,yes,yes,5,2,3,1,3,3,0,11,11,11
78,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,2,8,8,10
79,GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,mother,1,1,3,no,yes,no,no,yes,no,5,4,5,1,2,5,0,5,0,0
80,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,mother,2,1,3,yes,yes,no,yes,no,no,4,5,1,1,1,3,2,8,8,10
81,GP,M,17,U,GT3,T,2,1,other,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,1,2,5,22,9,7,6,mother,1,1,3,no,yes,no,no,yes,no,5,4,5,1,2,5,0,5,0,0
82,GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,mother,1,2,0,no,yes,no,no,yes,no,2,4,3,1,2,3,12,5,5,5
83,GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,father,1,1,0,yes,yes,yes,yes,yes,yes,3,2,2,1,3,3,2,10,12,12
84,GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,mother,1,3,0,yes,no,yes,no,yes,no,5,3,2,1,2,5,4,11,10,11
85,GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,mother,1,2,0,no,yes,yes,no,yes,no,4,4,4,1,1,5,10,7,6,6
86,GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,mother,2,2,0,no,no,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15
87,GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,father,1,2,0,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10
88,GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,father,2,2,2,no,no,yes,no,yes,yes,4,4,4,2,3,5,6,7,9,8
89,GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,mother,1,2,0,no,yes,no,no,yes,no,4,3,4,1,2,2,4,8,7,6
90,GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,mother,1,3,0,no,yes,no,yes,yes,no,5,3,3,1,3,1,4,13,14,14
91,GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,father,2,2,1,no,no,yes,yes,yes,no,4,4,2,1,1,3,12,11,10,10
92,GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,mother,1,2,0,no,yes,no,no,yes,no,4,1,3,3,5,5,18,8,6,7
93,GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11,mother,1,3,0,no,yes,yes,no,yes,yes,4,3,3,1,3,4,0,7,7,8
94,GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13,mother,1,1,0,no,no,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18
95,GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,father,1,2,0,yes,yes,no,no,yes,no,3,3,3,2,3,2,4,7,6,6
96,GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,mother,2,2,0,no,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10
97,GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12,mother,1,4,0,no,yes,no,yes,yes,no,4,3,4,1,1,4,6,11,13,14
98,GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,mother,2,4,1,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10
99,GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11,mother,2,1,0,yes,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15
100,GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,mother,1,2,0,no,yes,yes,no,yes,yes,4,3,5,1,1,5,2,8,9,10
101,GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,mother,1,1,0,no,no,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14
102,GP,F,16,U,GT3,T,4,3,other,at_home,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,mother,1,3,0,yes,yes,yes,no,yes,no,5,3,5,1,1,3,0,7,9,8
103,GP,M,16,U,GT3,T,4,4,services,services,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8,mother,1,1,0,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5
104,GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,father,1,3,0,no,yes,no,yes,yes,yes,4,4,3,1,1,4,0,16,17,17
105,GP,M,15,U,GT3,T,4,4,services,other,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,mother,1,1,0,no,yes,no,yes,yes,no,5,3,3,1,1,5,4,10,13,14
106,GP,F,15,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10,mother,2,2,0,yes,yes,yes,no,yes,no,4,3,5,1,1,2,26,7,6,6
107,GP,M,15,U,GT3,A,3,4,services,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,mother,1,2,0,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,18,18
108,GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10,father,1,4,0,yes,no,no,no,yes,no,4,3,3,1,1,4,10,10,11,11
109,GP,F,15,U,GT3,T,2,2,other,other,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,mother,1,4,0,yes,yes,yes,no,yes,no,5,1,2,1,1,3,8,7,8,8
